"x_plot","y_plot","playsection"
69,-22,"westOuterSlot"
-69,22,"westOuterSlotDZ"
69,22,"eastOuterSlot"
-69,-22,"eastOuterSlotDZ"
69,21,"eastOuterSlot"
-69,-21,"eastOuterSlotDZ"
69,-21,"westOuterSlot"
-70,-22,"eastOuterSlotDZ"
-69,21,"westOuterSlotDZ"
0,0,"northCenterNZ"
-70,22,"westOuterSlotDZ"
70,22,"eastOuterSlot"
70,-22,"westOuterSlot"
68,-22,"westOuterSlot"
-70,21,"westOuterSlotDZ"
0,1,"northCenterNZ"
70,-21,"westOuterSlot"
25,38,"eastPoint"
0,-1,"northCenterNZ"
68,22,"eastOuterSlot"
25,37,"eastPoint"
25,-37,"westPoint"
25,-38,"westPoint"
-68,22,"westOuterSlotDZ"
-98,-1,"outsideNorthEastDZ"
25,39,"eastPoint"
25,36,"eastPoint"
25,-39,"westPoint"
-98,1,"outsideNorthWestDZ"
-97,1,"outsideNorthWestDZ"
-97,-1,"outsideNorthEastDZ"
-70,-23,"outsideNorthEastDZ"
68,21,"eastOuterSlot"
70,23,"outsideNorthEast"
-68,-22,"eastOuterSlotDZ"
69,-23,"westOuterSlot"
25,-36,"westPoint"
-98,-2,"outsideNorthEastDZ"
-1,0,"southCenterNZ"
-97,-2,"outsideNorthEastDZ"
-69,23,"westOuterSlotDZ"
-97,2,"outsideNorthWestDZ"
-98,2,"outsideNorthWestDZ"
69,23,"eastOuterSlot"
25,-35,"westPoint"
-96,-1,"outsideNorthEastDZ"
-97,-3,"outsideNorthEastDZ"
-69,-23,"eastOuterSlotDZ"
0,38,"northEastBoardsNZ"
-98,-3,"outsideNorthEastDZ"
0,-38,"northWestBoardsNZ"
-97,3,"outsideNorthWestDZ"
-96,1,"outsideNorthWestDZ"
-68,-21,"eastOuterSlotDZ"
-70,-21,"eastOuterSlotDZ"
25,35,"eastPoint"
0,-39,"northWestBoardsNZ"
0,-37,"northWestBoardsNZ"
0,39,"northEastBoardsNZ"
-96,-2,"outsideNorthEastDZ"
0,-2,"northCenterNZ"
-96,2,"outsideNorthWestDZ"
25,34,"eastPoint"
-98,3,"outsideNorthWestDZ"
0,2,"northCenterNZ"
25,-34,"westPoint"
-1,-1,"southCenterNZ"
0,37,"northEastBoardsNZ"
1,0,"northCenterNZ"
-97,4,"outsideNorthWestDZ"
-97,-4,"outsideNorthEastDZ"
25,33,"eastPoint"
-98,4,"outsideNorthWestDZ"
25,-33,"westPoint"
0,36,"northEastBoardsNZ"
-1,1,"southCenterNZ"
-96,-4,"outsideNorthEastDZ"
26,38,"eastPoint"
0,-36,"northWestBoardsNZ"
26,37,"eastPoint"
-98,-4,"outsideNorthEastDZ"
-97,5,"outsideNorthWestDZ"
-96,-3,"outsideNorthEastDZ"
-97,-5,"outsideNorthEastDZ"
70,21,"eastOuterSlot"
68,-21,"westOuterSlot"
-96,3,"outsideNorthWestDZ"
25,40,"eastPoint"
-95,-1,"outsideNorthEastDZ"
31,-38,"westPoint"
26,39,"eastPoint"
30,-39,"westPoint"
-96,4,"outsideNorthWestDZ"
26,-37,"westPoint"
-95,1,"outsideNorthWestDZ"
1,1,"northCenterNZ"
26,-38,"westPoint"
-96,-5,"outsideNorthEastDZ"
-98,0,"outsideNorthEastDZ"
-96,5,"outsideNorthWestDZ"
25,-40,"westPoint"
-25,37,"southEastBoardsNZ"
26,36,"eastPoint"
25,32,"eastPoint"
31,39,"eastPoint"
68,-23,"westOuterSlot"
0,35,"northEastBoardsNZ"
26,-39,"westPoint"
0,-35,"northWestBoardsNZ"
31,-39,"westPoint"
-97,-6,"outsideNorthEastDZ"
-97,6,"outsideNorthWestDZ"
-25,38,"southEastBoardsNZ"
25,31,"eastPoint"
-95,3,"outsideNorthWestDZ"
-95,4,"outsideNorthWestDZ"
-98,5,"outsideNorthWestDZ"
-95,-4,"outsideNorthEastDZ"
-25,-38,"southWestBoardsNZ"
-95,-2,"outsideNorthEastDZ"
-98,-5,"outsideNorthEastDZ"
26,-36,"westPoint"
31,38,"eastPoint"
25,-32,"westPoint"
-95,-5,"outsideNorthEastDZ"
30,39,"eastPoint"
30,-38,"westPoint"
-95,-3,"outsideNorthEastDZ"
-97,0,"outsideNorthEastDZ"
-95,5,"outsideNorthWestDZ"
0,-34,"northWestBoardsNZ"
-99,-1,"outsideNorthEastDZ"
-25,39,"southEastBoardsNZ"
-95,-6,"outsideNorthEastDZ"
-98,-6,"outsideNorthEastDZ"
-96,6,"outsideNorthWestDZ"
-95,2,"outsideNorthWestDZ"
-25,36,"southEastBoardsNZ"
-70,23,"outsideNorthWestDZ"
0,40,"northEastBoardsNZ"
25,-31,"westPoint"
-25,-37,"southWestBoardsNZ"
-96,-6,"outsideNorthEastDZ"
0,-40,"northWestBoardsNZ"
1,-1,"northCenterNZ"
33,-38,"westPoint"
-20,21,"southCenterNZ"
33,-39,"westPoint"
-25,-39,"southWestBoardsNZ"
-20,-21,"southCenterNZ"
0,34,"northEastBoardsNZ"
-98,6,"outsideNorthWestDZ"
29,-39,"westPoint"
30,-37,"westPoint"
34,39,"eastPoint"
-25,-36,"southWestBoardsNZ"
20,-21,"northCenterNZ"
-20,-22,"southCenterNZ"
33,39,"eastPoint"
20,21,"northCenterNZ"
33,38,"eastPoint"
31,37,"eastPoint"
-97,-8,"outsideNorthEastDZ"
35,-39,"westPoint"
26,35,"eastPoint"
-99,1,"outsideNorthWestDZ"
20,-22,"northCenterNZ"
-95,-26,"outsideNorthEastDZ"
34,-39,"westPoint"
-97,-7,"outsideNorthEastDZ"
-20,22,"southCenterNZ"
-97,7,"outsideNorthWestDZ"
-95,6,"outsideNorthWestDZ"
29,39,"eastPoint"
69,40,"outsideNorthEast"
36,39,"eastPoint"
31,-37,"westPoint"
-99,2,"outsideNorthWestDZ"
-95,25,"outsideNorthWestDZ"
-96,-7,"outsideNorthEastDZ"
30,38,"eastPoint"
34,38,"eastPoint"
70,40,"outsideNorthEast"
35,39,"eastPoint"
-98,7,"outsideNorthWestDZ"
25,29,"eastPoint"
69,-40,"outsideNorthWest"
25,-30,"westPoint"
-96,7,"outsideNorthWestDZ"
20,22,"northCenterNZ"
26,-35,"westPoint"
34,-38,"westPoint"
-95,26,"outsideNorthWestDZ"
-95,-25,"outsideNorthEastDZ"
0,33,"northEastBoardsNZ"
29,38,"eastPoint"
34,-37,"westPoint"
-94,27,"outsideNorthWestDZ"
33,-37,"westPoint"
-94,-27,"outsideNorthEastDZ"
29,-38,"westPoint"
30,37,"eastPoint"
-95,-7,"outsideNorthEastDZ"
0,3,"northCenterNZ"
26,34,"eastPoint"
-94,28,"outsideNorthWestDZ"
36,-39,"westPoint"
-68,21,"westOuterSlotDZ"
-94,24,"outsideNorthWestDZ"
-94,-26,"outsideNorthEastDZ"
30,-40,"westPoint"
-99,-2,"outsideNorthEastDZ"
25,30,"eastPoint"
83,-37,"outsideNorthWest"
70,-23,"outsideNorthWest"
-97,8,"outsideNorthWestDZ"
33,37,"eastPoint"
-69,40,"outsideNorthWestDZ"
-94,5,"outsideNorthWestDZ"
-94,6,"outsideNorthWestDZ"
37,39,"eastPoint"
70,-40,"outsideNorthWest"
-95,-23,"outsideNorthEastDZ"
-93,-29,"outsideNorthEastDZ"
-69,-40,"outsideNorthEastDZ"
-96,-24,"outsideNorthEastDZ"
-94,26,"outsideNorthWestDZ"
-93,29,"outsideNorthWestDZ"
35,38,"eastPoint"
-94,-25,"outsideNorthEastDZ"
26,40,"eastPoint"
-68,23,"westOuterSlotDZ"
35,-38,"westPoint"
-95,-27,"outsideNorthEastDZ"
-25,35,"southEastBoardsNZ"
0,-3,"northCenterNZ"
0,19,"northCenterNZ"
-93,-28,"outsideNorthEastDZ"
25,-28,"westPoint"
25,-27,"westPoint"
-96,-8,"outsideNorthEastDZ"
36,-38,"westPoint"
31,-40,"westPoint"
31,40,"eastPoint"
-96,0,"outsideNorthEastDZ"
-94,3,"outsideNorthWestDZ"
-95,24,"outsideNorthWestDZ"
-94,-28,"outsideNorthEastDZ"
25,28,"eastPoint"
-94,-24,"outsideNorthEastDZ"
-25,-35,"southWestBoardsNZ"
-95,27,"outsideNorthWestDZ"
32,-38,"westPoint"
0,-33,"northWestBoardsNZ"
-96,25,"outsideNorthWestDZ"
-94,4,"outsideNorthWestDZ"
70,-39,"outsideNorthWest"
76,39,"outsideNorthEast"
-96,24,"outsideNorthWestDZ"
-95,23,"outsideNorthWestDZ"
-98,-7,"outsideNorthEastDZ"
-94,-5,"outsideNorthEastDZ"
-81,38,"outsideNorthWestDZ"
38,-39,"westPoint"
-94,-1,"outsideNorthEastDZ"
-96,-23,"outsideNorthEastDZ"
-94,1,"outsideNorthWestDZ"
25,-29,"westPoint"
